text,label,bias_keywords
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Open to both experienced and enthusiastic new learners.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
We want a results-driven sales representative.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Should be single and flexible with timings.,biased,"single, flexible"
Only males are encouraged to apply.,biased,males
Only males are encouraged to apply.,biased,males
Seeking a female candidate for front desk.,biased,female
Open to both experienced and enthusiastic new learners.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Prefers candidates below 30.,biased,below 30
Strong leadership skills required.,inclusive,
Only males are encouraged to apply.,biased,males
Prefers candidates below 30.,biased,below 30
We need someone to work under pressure without complaint.,biased,under pressure
Excellent communication skills required.,inclusive,
Only males are encouraged to apply.,biased,males
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
We need someone to work under pressure without complaint.,biased,under pressure
"Freshers not allowed, experienced only.",biased,Freshers not allowed
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
We value diversity and do not discriminate by age.,inclusive,
Strong manly leadership skills preferred.,biased,manly
We need someone to work under pressure without complaint.,biased,under pressure
All genders are encouraged to apply.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
All genders are encouraged to apply.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
All genders are encouraged to apply.,inclusive,
Strong leadership skills required.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Seeking a female candidate for front desk.,biased,female
Looking for a team player who can manage workload effectively.,inclusive,
Must be native English speaker.,biased,native English
Looking for a motivated and early-career professional.,inclusive,
Strong leadership skills required.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
We want a results-driven sales representative.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
All genders are encouraged to apply.,inclusive,
Must be native English speaker.,biased,native English
Strong leadership skills required.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Only males are encouraged to apply.,biased,males
Strong leadership skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Prefers candidates below 30.,biased,below 30
Looking for a motivated and early-career professional.,inclusive,
Only males are encouraged to apply.,biased,males
Excellent communication skills required.,inclusive,
Only males are encouraged to apply.,biased,males
Looking for a motivated and early-career professional.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Excellent communication skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Should be single and flexible with timings.,biased,"single, flexible"
Should be single and flexible with timings.,biased,"single, flexible"
Only males are encouraged to apply.,biased,males
Looking for a young and dynamic individual.,biased,"young, dynamic"
Prefers candidates below 30.,biased,below 30
Strong leadership skills required.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Excellent communication skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Excellent communication skills required.,inclusive,
Strong leadership skills required.,inclusive,
Must be native English speaker.,biased,native English
Looking for a young and dynamic individual.,biased,"young, dynamic"
Only males are encouraged to apply.,biased,males
Should be single and flexible with timings.,biased,"single, flexible"
Strong manly leadership skills preferred.,biased,manly
We want a results-driven sales representative.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Strong manly leadership skills preferred.,biased,manly
Looking for a team player who can manage workload effectively.,inclusive,
We want a results-driven sales representative.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Prefers candidates below 30.,biased,below 30
Looking for a team player who can manage workload effectively.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Prefers candidates below 30.,biased,below 30
We value diversity and do not discriminate by age.,inclusive,
Prefers candidates below 30.,biased,below 30
Prefers candidates below 30.,biased,below 30
All genders are encouraged to apply.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Prefers candidates below 30.,biased,below 30
Looking for a young and dynamic individual.,biased,"young, dynamic"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Strong manly leadership skills preferred.,biased,manly
Seeking a female candidate for front desk.,biased,female
Welcoming candidates with flexible working preferences.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Only males are encouraged to apply.,biased,males
Looking for a motivated and early-career professional.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Open to both experienced and enthusiastic new learners.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Only males are encouraged to apply.,biased,males
Prefers candidates below 30.,biased,below 30
Welcoming candidates with flexible working preferences.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Strong leadership skills required.,inclusive,
Only males are encouraged to apply.,biased,males
All genders are encouraged to apply.,inclusive,
We want a results-driven sales representative.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Strong manly leadership skills preferred.,biased,manly
We value diversity and do not discriminate by age.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
All genders are encouraged to apply.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Strong leadership skills required.,inclusive,
Strong leadership skills required.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Open to both experienced and enthusiastic new learners.,inclusive,
Strong leadership skills required.,inclusive,
We want a results-driven sales representative.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Excellent communication skills required.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Welcoming candidates with flexible working preferences.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Should be single and flexible with timings.,biased,"single, flexible"
We need someone to work under pressure without complaint.,biased,under pressure
Seeking a qualified individual for front desk.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
Open to both experienced and enthusiastic new learners.,inclusive,
Seeking a female candidate for front desk.,biased,female
All genders are encouraged to apply.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Should be single and flexible with timings.,biased,"single, flexible"
Seeking a female candidate for front desk.,biased,female
Must be native English speaker.,biased,native English
Looking for a motivated and early-career professional.,inclusive,
We want a results-driven sales representative.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Open to both experienced and enthusiastic new learners.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Seeking a female candidate for front desk.,biased,female
All genders are encouraged to apply.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Strong manly leadership skills preferred.,biased,manly
Should be single and flexible with timings.,biased,"single, flexible"
Seeking a female candidate for front desk.,biased,female
We value diversity and do not discriminate by age.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
We want a results-driven sales representative.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
Strong leadership skills required.,inclusive,
We want a results-driven sales representative.,inclusive,
Must be native English speaker.,biased,native English
Must be native English speaker.,biased,native English
All genders are encouraged to apply.,inclusive,
Excellent communication skills required.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Looking for a young and dynamic individual.,biased,"young, dynamic"
"Freshers not allowed, experienced only.",biased,Freshers not allowed
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Open to both experienced and enthusiastic new learners.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Must be native English speaker.,biased,native English
Seeking a qualified individual for front desk.,inclusive,
Seeking a female candidate for front desk.,biased,female
All genders are encouraged to apply.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Only males are encouraged to apply.,biased,males
Welcoming candidates with flexible working preferences.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
We want a results-driven sales representative.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Looking for a team player who can manage workload effectively.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Seeking a female candidate for front desk.,biased,female
Strong manly leadership skills preferred.,biased,manly
Excellent communication skills required.,inclusive,
We want a results-driven sales representative.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Must be native English speaker.,biased,native English
Open to both experienced and enthusiastic new learners.,inclusive,
Seeking a female candidate for front desk.,biased,female
Strong manly leadership skills preferred.,biased,manly
We want a results-driven sales representative.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Strong manly leadership skills preferred.,biased,manly
Looking for a motivated and early-career professional.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Excellent communication skills required.,inclusive,
Only males are encouraged to apply.,biased,males
Should be single and flexible with timings.,biased,"single, flexible"
Must be native English speaker.,biased,native English
Excellent communication skills required.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Strong manly leadership skills preferred.,biased,manly
Prefers candidates below 30.,biased,below 30
Should be single and flexible with timings.,biased,"single, flexible"
We want a results-driven sales representative.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Seeking a female candidate for front desk.,biased,female
Open to both experienced and enthusiastic new learners.,inclusive,
Strong leadership skills required.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Prefers candidates below 30.,biased,below 30
Excellent communication skills required.,inclusive,
Only males are encouraged to apply.,biased,males
Looking for a motivated and early-career professional.,inclusive,
Prefers candidates below 30.,biased,below 30
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Strong manly leadership skills preferred.,biased,manly
Must be native English speaker.,biased,native English
Only males are encouraged to apply.,biased,males
We want a results-driven sales representative.,inclusive,
Strong leadership skills required.,inclusive,
Excellent communication skills required.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Prefers candidates below 30.,biased,below 30
Should be single and flexible with timings.,biased,"single, flexible"
Strong manly leadership skills preferred.,biased,manly
We want a results-driven sales representative.,inclusive,
Strong leadership skills required.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Looking for a team player who can manage workload effectively.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
All genders are encouraged to apply.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
We value diversity and do not discriminate by age.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Excellent communication skills required.,inclusive,
All genders are encouraged to apply.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
Looking for a young and dynamic individual.,biased,"young, dynamic"
Welcoming candidates with flexible working preferences.,inclusive,
Seeking a female candidate for front desk.,biased,female
Should be single and flexible with timings.,biased,"single, flexible"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Looking for a young and dynamic individual.,biased,"young, dynamic"
Welcoming candidates with flexible working preferences.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
We want a results-driven sales representative.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Must be native English speaker.,biased,native English
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Welcoming candidates with flexible working preferences.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
We value diversity and do not discriminate by age.,inclusive,
Must be native English speaker.,biased,native English
We need someone to work under pressure without complaint.,biased,under pressure
Prefers candidates below 30.,biased,below 30
Strong leadership skills required.,inclusive,
Only males are encouraged to apply.,biased,males
Must be native English speaker.,biased,native English
Strong leadership skills required.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
We value diversity and do not discriminate by age.,inclusive,
Strong manly leadership skills preferred.,biased,manly
Looking for a motivated and early-career professional.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Excellent communication skills required.,inclusive,
Looking for a young and dynamic individual.,biased,"young, dynamic"
Open to both experienced and enthusiastic new learners.,inclusive,
Must be native English speaker.,biased,native English
We want a results-driven sales representative.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Looking for a team player who can manage workload effectively.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Strong leadership skills required.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
All genders are encouraged to apply.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
We want a results-driven sales representative.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Looking for a motivated and early-career professional.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Seeking a female candidate for front desk.,biased,female
Seeking a female candidate for front desk.,biased,female
Must be native English speaker.,biased,native English
Welcoming candidates with flexible working preferences.,inclusive,
Strong manly leadership skills preferred.,biased,manly
All genders are encouraged to apply.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Seeking a female candidate for front desk.,biased,female
Prefers candidates below 30.,biased,below 30
Strong manly leadership skills preferred.,biased,manly
Must be native English speaker.,biased,native English
Only males are encouraged to apply.,biased,males
Excellent communication skills required.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
All genders are encouraged to apply.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Only males are encouraged to apply.,biased,males
Prefers candidates below 30.,biased,below 30
Should be single and flexible with timings.,biased,"single, flexible"
Prefers candidates below 30.,biased,below 30
Seeking a qualified individual for front desk.,inclusive,
All genders are encouraged to apply.,inclusive,
Strong manly leadership skills preferred.,biased,manly
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Looking for a young and dynamic individual.,biased,"young, dynamic"
Excellent communication skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Excellent communication skills required.,inclusive,
Excellent communication skills required.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Strong leadership skills required.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
We want a results-driven sales representative.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Must be native English speaker.,biased,native English
We need someone to work under pressure without complaint.,biased,under pressure
Seeking a qualified individual for front desk.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Looking for a team player who can manage workload effectively.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Excellent communication skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Must be native English speaker.,biased,native English
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Looking for a team player who can manage workload effectively.,inclusive,
Seeking a female candidate for front desk.,biased,female
Excellent communication skills required.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Seeking a female candidate for front desk.,biased,female
We value diversity and do not discriminate by age.,inclusive,
All genders are encouraged to apply.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Excellent communication skills required.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Welcoming candidates with flexible working preferences.,inclusive,
Prefers candidates below 30.,biased,below 30
We need someone to work under pressure without complaint.,biased,under pressure
Prefers candidates below 30.,biased,below 30
Seeking a qualified individual for front desk.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
Strong leadership skills required.,inclusive,
All genders are encouraged to apply.,inclusive,
We need someone to work under pressure without complaint.,biased,under pressure
All genders are encouraged to apply.,inclusive,
All genders are encouraged to apply.,inclusive,
Excellent communication skills required.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
All genders are encouraged to apply.,inclusive,
We want a results-driven sales representative.,inclusive,
Open to both experienced and enthusiastic new learners.,inclusive,
Welcoming candidates with flexible working preferences.,inclusive,
Prefers candidates below 30.,biased,below 30
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Prefers candidates below 30.,biased,below 30
Looking for a team player who can manage workload effectively.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Looking for a young and dynamic individual.,biased,"young, dynamic"
Looking for a young and dynamic individual.,biased,"young, dynamic"
Should be single and flexible with timings.,biased,"single, flexible"
Seeking a qualified individual for front desk.,inclusive,
Strong leadership skills required.,inclusive,
Only males are encouraged to apply.,biased,males
Seeking a female candidate for front desk.,biased,female
Strong leadership skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Strong leadership skills required.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
We value diversity and do not discriminate by age.,inclusive,
Seeking a female candidate for front desk.,biased,female
Looking for a motivated and early-career professional.,inclusive,
Strong manly leadership skills preferred.,biased,manly
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Should be single and flexible with timings.,biased,"single, flexible"
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Looking for a young and dynamic individual.,biased,"young, dynamic"
All genders are encouraged to apply.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Seeking a female candidate for front desk.,biased,female
Strong manly leadership skills preferred.,biased,manly
Seeking a female candidate for front desk.,biased,female
Seeking a female candidate for front desk.,biased,female
Looking for a team player who can manage workload effectively.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
"Freshers not allowed, experienced only.",biased,Freshers not allowed
We value diversity and do not discriminate by age.,inclusive,
Must be native English speaker.,biased,native English
We need someone to work under pressure without complaint.,biased,under pressure
Looking for a young and dynamic individual.,biased,"young, dynamic"
Only males are encouraged to apply.,biased,males
"Freshers not allowed, experienced only.",biased,Freshers not allowed
We want a results-driven sales representative.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Only males are encouraged to apply.,biased,males
Excellent communication skills required.,inclusive,
Seeking a female candidate for front desk.,biased,female
We want a results-driven sales representative.,inclusive,
Prefers candidates below 30.,biased,below 30
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Only males are encouraged to apply.,biased,males
Only males are encouraged to apply.,biased,males
Looking for a team player who can manage workload effectively.,inclusive,
Excellent communication skills required.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Seeking a qualified individual for front desk.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Open to both experienced and enthusiastic new learners.,inclusive,
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
Looking for a motivated and early-career professional.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Looking for a motivated and early-career professional.,inclusive,
Must be native English speaker.,biased,native English
We need someone to work under pressure without complaint.,biased,under pressure
Must be native English speaker.,biased,native English
Open to both experienced and enthusiastic new learners.,inclusive,
Must be native English speaker.,biased,native English
We need someone to work under pressure without complaint.,biased,under pressure
All genders are encouraged to apply.,inclusive,
We want a results-driven sales representative.,inclusive,
Seeking a female candidate for front desk.,biased,female
We need someone to work under pressure without complaint.,biased,under pressure
Prefers candidates below 30.,biased,below 30
We need someone to work under pressure without complaint.,biased,under pressure
Looking for a young and dynamic individual.,biased,"young, dynamic"
We want an aggressive salesman to drive results.,biased,"aggressive, salesman"
All genders are encouraged to apply.,inclusive,
We value diversity and do not discriminate by age.,inclusive,
We want a results-driven sales representative.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Should be single and flexible with timings.,biased,"single, flexible"
Looking for a young and dynamic individual.,biased,"young, dynamic"
Strong leadership skills required.,inclusive,
Looking for a team player who can manage workload effectively.,inclusive,
Must be native English speaker.,biased,native English
Welcoming candidates with flexible working preferences.,inclusive,
Must be native English speaker.,biased,native English
Looking for a young and dynamic individual.,biased,"young, dynamic"
Strong manly leadership skills preferred.,biased,manly
Looking for a young and dynamic individual.,biased,"young, dynamic"
Strong leadership skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
"Freshers not allowed, experienced only.",biased,Freshers not allowed
Only males are encouraged to apply.,biased,males
We want a results-driven sales representative.,inclusive,
Prefers candidates below 30.,biased,below 30
Looking for a young and dynamic individual.,biased,"young, dynamic"
Seeking a female candidate for front desk.,biased,female
Welcoming candidates with flexible working preferences.,inclusive,
Excellent communication skills required.,inclusive,
Seeking a qualified individual for front desk.,inclusive,
Must be native English speaker.,biased,native English
Looking for a young and dynamic individual.,biased,"young, dynamic"
We value diversity and do not discriminate by age.,inclusive,
